attack_id,run_id,num_variants,transforms_per_variant,same_variants,w_idx,w_nop,w_lea,w_reorder,w_fence_jcc,w_fence_store,w_retpoline,w_ssb,w_fence_cut,w_sand,bytes_stolen_pct_input,cycles_overhead_pct_input,bytes_stolen_pct,cycles_overhead_pct,bytes_stolen_measured,cycles_measured,notes
spectre_v1,spectrev1_5_6,5,6,1,0,0,0,0,0,0,0,0,0,0,"93,9","15,48","93,9","15,48",,,
spectre_v1,spectrev1_Nop_5_6,5,6,0,0,1,0,0,0,0,0,0,0,0,"90,1","10,6","90,1","10,6",,,
spectre_v1,spectrev1_Fence_5_1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,"27,7",0,"27,7",,,
spectre_v1,spectrev1_Lea_5_6,5,6,0,0,0,1,0,0,0,0,0,0,0,"86,5","7,8","86,5","7,8",,,
spectre_v1,spectrev1_Reorder_5_6,5,6,0,0,0,0,1,0,0,0,0,0,0,"87,6","17,9","87,6","17,9",,,
spectre_v1,spectrev1_NoFence_5_6,5,6,0,0,"0,25","0,5","0,25",0,0,0,0,0,0,"85,3","19,04","85,3","19,04",,,
spectre_v1,spectrev1_Idx_5_1,5,1,0,1,0,0,0,0,0,0,0,0,0,"10,8","23,55","10,8","23,55",,,
spectre_v1,spectrev1_New_NoFence_5_6,5,6,0,"0,3","0,2","0,3","0,2",0,0,0,0,0,0,"55,23","14,59","55,23","14,59",,,
spectre_v1,spectrev1_New_5_6,5,6,0,"0,3","0,2","0,25","0,2","0,05",0,0,0,0,0,"5,2","19,45","5,2","19,45",,,
spectre_v1,spectrev1_10_6,10,6,1,0,0,0,0,0,0,0,0,0,0,"90,5","21,46","90,5","21,46",,,
spectre_v1,spectrev1_Nop_10_6,10,6,0,0,1,0,0,0,0,0,0,0,0,"89,3","17,66","89,3","17,66",,,
spectre_v1,spectrev1_Fence_10_1,10,1,0,0,0,0,0,1,0,0,0,0,0,0,"28,6",0,"28,6",,,
spectre_v1,spectrev1_Lea_10_6,10,6,0,0,0,1,0,0,0,0,0,0,0,"86,1","16,5","86,1","16,5",,,
spectre_v1,spectrev1_Reorder_10_6,10,6,0,0,0,0,1,0,0,0,0,0,0,"87,7","19,5","87,7","19,5",,,
spectre_v1,spectrev1_NoFence_10_6,10,6,0,0,"0,25","0,5","0,25",0,0,0,0,0,0,"84,9","20,03","84,9","20,03",,,
spectre_v1,spectrev1_Idx_10_1,10,1,0,1,0,0,0,0,0,0,0,0,0,"6,89","23,68","6,89","23,68",,,
spectre_v1,spectrev1_New_NoFence_10_6,10,6,0,"0,3","0,2","0,3","0,2",0,0,0,0,0,0,"52,5","14,22","52,5","14,22",,,
spectre_v1,spectrev1_New_10_6,10,6,0,"0,3","0,2","0,25","0,2","0,05",0,0,0,0,0,"2,32","22,63","2,32","22,63",,,
spectre_v1,spectrev1_25_6,25,6,1,0,0,0,0,0,0,0,0,0,0,"89,4","26,8","89,4","26,8",,,
spectre_v1,spectrev1_Nop_25_6,25,6,0,0,1,0,0,0,0,0,0,0,0,"88,9","21,04","88,9","21,04",,,
spectre_v1,spectrev1_Fence_25_1,25,1,0,0,0,0,0,1,0,0,0,0,0,0,"31,27",0,"31,27",,,
spectre_v1,spectrev1_Lea_25_6,25,6,0,0,0,1,0,0,0,0,0,0,0,"85,4","25,07","85,4","25,07",,,
spectre_v1,spectrev1_Reorder_25_6,25,6,0,0,0,0,1,0,0,0,0,0,0,"87,5","24,37","87,5","24,37",,,
spectre_v1,spectrev1_NoFence_25_6,25,6,0,0,"0,25","0,5","0,25",0,0,0,0,0,0,"84,8","26,15","84,8","26,15",,,
spectre_v1,spectrev1_Idx_25_1,25,1,0,1,0,0,0,0,0,0,0,0,0,0,"25,62",0,"25,62",,,
spectre_v1,spectrev1_New_NoFence_25_6,25,6,0,"0,3","0,2","0,3","0,2",0,0,0,0,0,0,"43,86","15,11","43,86","15,11",,,
spectre_v1,spectrev1_New_25_6,25,6,0,"0,3","0,2","0,25","0,2","0,05",0,0,0,0,0,"1,41","27,25","1,41","27,25",,,
spectre_v1,spectrev1_50_6,50,6,1,0,0,0,0,0,0,0,0,0,0,"88,5","31,41","88,5","31,41",,,
spectre_v1,spectrev1_Nop_50_6,50,6,0,0,1,0,0,0,0,0,0,0,0,"85,1","14,81","85,1","14,81",,,
spectre_v1,spectrev1_Fence_50_1,50,1,0,0,0,0,0,1,0,0,0,0,0,0,"33,47",0,"33,47",,,
spectre_v1,spectrev1_Lea_50_6,50,6,0,0,0,1,0,0,0,0,0,0,0,83,"27,01",83,"27,01",,,
spectre_v1,spectrev1_Reorder_50_6,50,6,0,0,0,0,1,0,0,0,0,0,0,"85,9","23,16","85,9","23,16",,,
spectre_v1,spectrev1_NoFence_50_6,50,6,0,0,"0,25","0,5","0,25",0,0,0,0,0,0,"80,5","19,81","80,5","19,81",,,
spectre_v1,spectrev1_Idx_50_1,50,1,0,1,0,0,0,0,0,0,0,0,0,0,"27,73",0,"27,73",,,
spectre_v1,spectrev1_New_NoFence_50_6,50,6,0,"0,3","0,2","0,3","0,2",0,0,0,0,0,0,"27,43","20,23","27,43","20,23",,,
spectre_v1,spectrev1_New_50_6,50,6,0,"0,3","0,2","0,25","0,2","0,05",0,0,0,0,0,0,"31,79",0,"31,79",,,
spectre_v1,spectrev1_75_6,75,6,1,0,0,0,0,0,0,0,0,0,0,"86,8","32,69","86,8","32,69",,,
spectre_v1,spectrev1_Nop_75_6,75,6,0,0,1,0,0,0,0,0,0,0,0,"84,5","22,18","84,5","22,18",,,
spectre_v1,spectrev1_Fence_75_1,75,1,0,0,0,0,0,1,0,0,0,0,0,0,"36,67",0,"36,67",,,
spectre_v1,spectrev1_Lea_75_6,75,6,0,0,0,1,0,0,0,0,0,0,0,"78,2","30,56","78,2","30,56",,,
spectre_v1,spectrev1_Reorder_75_6,75,6,0,0,0,0,1,0,0,0,0,0,0,"79,5","27,63","79,5","27,63",,,
spectre_v1,spectrev1_NoFence_75_6,75,6,0,0,"0,25","0,5","0,25",0,0,0,0,0,0,"77,54","22,89","77,54","22,89",,,
spectre_v1,spectrev1_Idx_75_1,75,1,0,1,0,0,0,0,0,0,0,0,0,0,"30,26",0,"30,26",,,
spectre_v1,spectrev1_New_NoFence_75_6,75,6,0,"0,3","0,2","0,3","0,2",0,0,0,0,0,0,"5,2","23,15","5,2","23,15",,,
spectre_v1,spectrev1_New_75_6,75,6,0,"0,3","0,2","0,25","0,2","0,05",0,0,0,0,0,0,"33,76",0,"33,76",,,
spectre_v4,spectrev4_100_6,100,6,1,0,0,0,0,0,0,0,0,0,0,"96,53","4,87","96,53","4,87",,,
spectre_v4,spectrev4_Nop_100_6,100,6,0,0,1,0,0,0,0,0,0,0,0,"96,48","4,97","96,48","4,97",,,
spectre_v4,spectrev4_Fence_100_1,100,1,0,0,0,0,0,0,1,0,0,0,0,"33,42","10,78","33,42","10,78",,,
spectre_v4,spectrev4_Lea_100_6,100,6,0,0,0,1,0,0,0,0,0,0,0,"95,32","5,23","95,32","5,23",,,
spectre_v4,spectrev4_Reorder_100_6,100,6,0,0,0,0,1,0,0,0,0,0,0,"96,5","4,87","96,5","4,87",,,
spectre_v4,spectrev4_Idx_100_6,100,6,0,1,0,0,0,0,0,0,0,0,0,"96,5","4,87","96,5","4,87",,,
spectre_v4,spectrev4_Ssb_100_1,100,1,0,0,0,0,0,0,0,0,1,0,0,"45,23","8,69","45,23","8,69",,,
spectre_v4,spectrev4_All_100_6,100,6,0,0,"0,3","0,3",0,0,"0,2",0,"0,2",0,0,"78,35","9,26","78,35","9,26",,,
spectre_v4,spectrev4_250_6,250,6,1,0,0,0,0,0,0,0,0,0,0,"88,28","8,34","88,28","8,34",,,
spectre_v4,spectrev4_Nop_250_6,250,6,0,0,1,0,0,0,0,0,0,0,0,"88,59","8,91","88,59","8,91",,,
spectre_v4,spectrev4_Fence_250_1,250,1,0,0,0,0,0,0,1,0,0,0,0,"22,78","14,14","22,78","14,14",,,
spectre_v4,spectrev4_Lea_250_6,250,6,0,0,0,1,0,0,0,0,0,0,0,"87,21","9,87","87,21","9,87",,,
spectre_v4,spectrev4_Reorder_250_6,250,6,0,0,0,0,1,0,0,0,0,0,0,"88,28","8,34","88,28","8,34",,,
spectre_v4,spectrev4_Idx_250_6,250,6,0,1,0,0,0,0,0,0,0,0,0,"88,28","8,34","88,28","8,34",,,
spectre_v4,spectrev4_Ssb_250_1,250,1,0,0,0,0,0,0,0,0,1,0,0,"31,79","11,93","31,79","11,93",,,
spectre_v4,spectrev4_All_250_6,250,6,0,0,"0,3","0,3",0,0,"0,2",0,"0,2",0,0,"64,97","13,67","64,97","13,67",,,
spectre_v4,spectrev4_500_6,500,6,1,0,0,0,0,0,0,0,0,0,0,"75,35","10,23","75,35","10,23",,,
spectre_v4,spectrev4_Nop_500_6,500,6,0,0,1,0,0,0,0,0,0,0,0,"75,21","10,11","75,21","10,11",,,
spectre_v4,spectrev4_Fence_500_1,500,1,0,0,0,0,0,0,1,0,0,0,0,"7,82","17,65","7,82","17,65",,,
spectre_v4,spectrev4_Lea_500_6,500,6,0,0,0,1,0,0,0,0,0,0,0,"74,32","11,12","74,32","11,12",,,
spectre_v4,spectrev4_Reorder_500_6,500,6,0,0,0,0,1,0,0,0,0,0,0,"75,35","10,23","75,35","10,23",,,
spectre_v4,spectrev4_Idx_500_6,500,6,0,1,0,0,0,0,0,0,0,0,0,"75,35","10,23","75,35","10,23",,,
spectre_v4,spectrev4_Ssb_500_1,500,1,0,0,0,0,0,0,0,0,1,0,0,"12,21","15,76","12,21","15,76",,,
spectre_v4,spectrev4_All_500_6,500,6,0,0,"0,3","0,3",0,0,"0,2",0,"0,2",0,0,"35,29","15,69","35,29","15,69",,,
spectre_v4,spectrev4_1000_6,1000,6,1,0,0,0,0,0,0,0,0,0,0,"55,63","16,02","55,63","16,02",,,
spectre_v4,spectrev4_Nop_1000_6,1000,6,0,0,1,0,0,0,0,0,0,0,0,"55,7","16,92","55,7","16,92",,,
spectre_v4,spectrev4_Fence_1000_1,1000,1,0,0,0,0,0,0,1,0,0,0,0,0,"22,53",0,"22,53",,,
spectre_v4,spectrev4_Lea_1000_6,1000,6,0,0,0,1,0,0,0,0,0,0,0,"53,18","23,53","53,18","23,53",,,
spectre_v4,spectrev4_Reorder_1000_6,1000,6,0,0,0,0,1,0,0,0,0,0,0,"55,63","16,02","55,63","16,02",,,
spectre_v4,spectrev4_Idx_1000_6,1000,6,0,1,0,0,0,0,0,0,0,0,0,"55,63","16,02","55,63","16,02",,,
spectre_v4,spectrev4_Ssb_1000_1,1000,1,0,0,0,0,0,0,0,0,1,0,0,"4,58","20,89","4,58","20,89",,,
spectre_v4,spectrev4_All_1000_6,1000,6,0,0,"0,3","0,3",0,0,"0,2",0,"0,2",0,0,"25,25","19,03","25,25","19,03",,,
spectre_v4,spectrev4_2500_6,2500,6,1,0,0,0,0,0,0,0,0,0,0,"15,89","25,28","15,89","25,28",,,
spectre_v4,spectrev4_Nop_2500_6,2500,6,0,0,1,0,0,0,0,0,0,0,0,"15,89","25,32","15,89","25,32",,,
spectre_v4,spectrev4_Fence_2500_1,2500,1,0,0,0,0,0,0,1,0,0,0,0,0,"37,02",0,"37,02",,,
spectre_v4,spectrev4_Lea_2500_6,2500,6,0,0,0,1,0,0,0,0,0,0,0,"8,32","26,79","8,32","26,79",,,
spectre_v4,spectrev4_Reorder_2500_6,2500,6,0,0,0,0,1,0,0,0,0,0,0,"15,89","25,28","15,89","25,28",,,
spectre_v4,spectrev4_Idx_2500_6,2500,6,0,1,0,0,0,0,0,0,0,0,0,"15,89","25,28","15,89","25,28",,,
spectre_v4,spectrev4_Ssb_2500_1,2500,1,0,0,0,0,0,0,0,0,1,0,0,0,"34,93",0,"34,93",,,
spectre_v4,spectrev4_All_2500_6,2500,6,0,0,"0,3","0,3",0,0,"0,2",0,"0,2",0,0,"12,43","29,21","12,43","29,21",,,
spectre_v4,spectrev4_5000_6,5000,6,1,0,0,0,0,0,0,0,0,0,0,0,"48,34",0,"48,34",,,
meltdown,meltdown_100_6,100,6,1,0,0,0,0,0,0,0,0,0,0,"97,51",,"97,51","3,317084615",,13713537,
meltdown,meltdown_Nop_100_6,100,6,0,0,1,0,0,0,0,0,0,0,0,"97,31",,"97,31","2,452074292",,13598722,
meltdown,meltdown_Lea_100_3,100,3,0,0,0,1,0,0,0,0,0,0,0,"95,94",,"95,94","5,464064119",,13998511,
meltdown,meltdown_FenceCut_100_1,100,1,0,0,0,0,0,0,0,0,0,1,0,"1,67",,"1,67","22,49401277",,16258939,
meltdown,meltdown_Sand_100_1,100,1,0,0,0,0,0,0,0,0,0,0,1,"10,89",,"10,89","14,37444268",,15181208,
meltdown,meltdown_All1_100_6,100,4,0,0,"0,25","0,3",0,0,0,0,0,"0,15","0,3","12,88",,"12,88","16,73676504",,15494765,
meltdown,meltdown_All2_100_6,100,6,0,0,"0,3","0,4",0,0,0,0,0,"0,05","0,25","8,34",,"8,34","18,24355478",,15694765,
meltdown,meltdown_250_6,250,6,1,0,0,0,0,0,0,0,0,0,0,"96,74",,"96,74","5,486665966",,14001511,
meltdown,meltdown_Nop_250_6,250,6,0,0,1,0,0,0,0,0,0,0,0,"96,88",,"96,88","5,473956194",,13999824,
meltdown,meltdown_Lea_250_3,250,3,0,0,0,1,0,0,0,0,0,0,0,"95,25",,"95,25","6,574055853",,14145843,
meltdown,meltdown_FenceCut_250_1,250,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,"24,48860309",,16523686,
meltdown,meltdown_Sand_250_1,250,1,0,0,0,0,0,0,0,0,0,0,1,"5,21",,"5,21","16,7554417",,15497244,
meltdown,meltdown_All1_250_6,250,4,0,0,"0,25","0,3",0,0,0,0,0,"0,15","0,3","10,23",,"10,23","17,79145005",,15634756,
